Site,commercial,crop_land,forest,industrial,medium_density_residential,open_land,transitional,transportation,urban_public_institution,water,wetland,outdoor_temperature,wind_speed_resultant,solar_radiation
"[(-71.1408232, 42.353426759999998), (-71.136119600000001, 42.353426759999998), (-71.136119600000001, 42.356009499999999), (-71.1408232, 42.356009499999999)]",0.51,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.06,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.136119600000001, 42.353426759999998), (-71.131416000000002, 42.353426759999998), (-71.131416000000002, 42.356009499999999), (-71.136119600000001, 42.356009499999999)]",0.86,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.07,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.131416000000002, 42.353426759999998), (-71.126712400000002, 42.353426759999998), (-71.126712400000002, 42.356009499999999), (-71.131416000000002, 42.356009499999999)]",0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.07,0.01,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.126712400000002, 42.353426759999998), (-71.122008800000003, 42.353426759999998), (-71.122008800000003, 42.356009499999999), (-71.126712400000002, 42.356009499999999)]",0.21,0.0,0.0,0.11,0.0,0.0,0.0,0.31,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.122008800000003, 42.353426759999998), (-71.117305200000004, 42.353426759999998), (-71.117305200000004, 42.356009499999999), (-71.122008800000003, 42.356009499999999)]",0.11,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.15,0.08,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.117305200000004, 42.353426759999998), (-71.112601600000005, 42.353426759999998), (-71.112601600000005, 42.356009499999999), (-71.117305200000004, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.59,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.112601600000005, 42.353426759999998), (-71.107898000000006, 42.353426759999998), (-71.107898000000006, 42.356009499999999), (-71.112601600000005, 42.356009499999999)]",0.0,0.0,0.0,0.4,0.0,0.02,0.0,0.01,0.02,0.01,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.107898000000006, 42.353426759999998), (-71.103194400000007, 42.353426759999998), (-71.103194400000007, 42.356009499999999), (-71.107898000000006, 42.356009499999999)]",0.35,0.0,0.0,0.26,0.0,0.0,0.0,0.07,0.26,0.01,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.103194400000007, 42.353426759999998), (-71.098490800000008, 42.353426759999998), (-71.098490800000008, 42.356009499999999), (-71.103194400000007, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.37,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.098490800000008, 42.353426759999998), (-71.093787200000008, 42.353426759999998), (-71.093787200000008, 42.356009499999999), (-71.098490800000008, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.92,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.093787200000008, 42.353426759999998), (-71.089083600000009, 42.353426759999998), (-71.089083600000009, 42.356009499999999), (-71.093787200000008, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.089083600000009, 42.353426759999998), (-71.08438000000001, 42.353426759999998), (-71.08438000000001, 42.356009499999999), (-71.089083600000009, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.08438000000001, 42.353426759999998), (-71.079676399999997, 42.353426759999998), (-71.079676399999997, 42.356009499999999), (-71.08438000000001, 42.356009499999999)]",0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.84,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.079676399999997, 42.353426759999998), (-71.074972799999998, 42.353426759999998), (-71.074972799999998, 42.356009499999999), (-71.079676399999997, 42.356009499999999)]",0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.19,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.074972799999998, 42.353426759999998), (-71.070269199999998, 42.353426759999998), (-71.070269199999998, 42.356009499999999), (-71.074972799999998, 42.356009499999999)]",0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.04,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.070269199999998, 42.353426759999998), (-71.065565599999999, 42.353426759999998), (-71.065565599999999, 42.356009499999999), (-71.070269199999998, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.08,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.065565599999999, 42.353426759999998), (-71.060862, 42.353426759999998), (-71.060862, 42.356009499999999), (-71.065565599999999, 42.356009499999999)]",0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.060862, 42.353426759999998), (-71.056158400000001, 42.353426759999998), (-71.056158400000001, 42.356009499999999), (-71.060862, 42.356009499999999)]",0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.056158400000001, 42.353426759999998), (-71.051454800000002, 42.353426759999998), (-71.051454800000002, 42.356009499999999), (-71.056158400000001, 42.356009499999999)]",0.65,0.0,0.0,0.0,0.0,0.0,0.06,0.29,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.051454800000002, 42.353426759999998), (-71.046751200000003, 42.353426759999998), (-71.046751200000003, 42.356009499999999), (-71.051454800000002, 42.356009499999999)]",0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.12,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.046751200000003, 42.353426759999998), (-71.042047600000004, 42.353426759999998), (-71.042047600000004, 42.356009499999999), (-71.046751200000003, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.11,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.042047600000004, 42.353426759999998), (-71.037344000000004, 42.353426759999998), (-71.037344000000004, 42.356009499999999), (-71.042047600000004, 42.356009499999999)]",0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.037344000000004, 42.353426759999998), (-71.032640400000005, 42.353426759999998), (-71.032640400000005, 42.356009499999999), (-71.037344000000004, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.032640400000005, 42.353426759999998), (-71.027936800000006, 42.353426759999998), (-71.027936800000006, 42.356009499999999), (-71.032640400000005, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.027936800000006, 42.353426759999998), (-71.023233200000007, 42.353426759999998), (-71.023233200000007, 42.356009499999999), (-71.027936800000006, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.023233200000007, 42.353426759999998), (-71.018529600000008, 42.353426759999998), (-71.018529600000008, 42.356009499999999), (-71.023233200000007, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.018529600000008, 42.353426759999998), (-71.013826000000009, 42.353426759999998), (-71.013826000000009, 42.356009499999999), (-71.018529600000008, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.013826000000009, 42.353426759999998), (-71.00912240000001, 42.353426759999998), (-71.00912240000001, 42.356009499999999), (-71.013826000000009, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.00912240000001, 42.353426759999998), (-71.004418799999996, 42.353426759999998), (-71.004418799999996, 42.356009499999999), (-71.00912240000001, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.25,23.7761904762,8.49702380952,1.05952380952
"[(-71.004418799999996, 42.353426759999998), (-70.999715199999997, 42.353426759999998), (-70.999715199999997, 42.356009499999999), (-71.004418799999996, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.14,23.7761904762,8.49702380952,1.05952380952
"[(-70.999715199999997, 42.353426759999998), (-70.995011599999998, 42.353426759999998), (-70.995011599999998, 42.356009499999999), (-70.999715199999997, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.08,23.7761904762,8.49702380952,1.05952380952
"[(-70.995011599999998, 42.353426759999998), (-70.990307999999999, 42.353426759999998), (-70.990307999999999, 42.356009499999999), (-70.995011599999998, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-70.990307999999999, 42.353426759999998), (-70.9856044, 42.353426759999998), (-70.9856044, 42.356009499999999), (-70.990307999999999, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-70.9856044, 42.353426759999998), (-70.980900800000001, 42.353426759999998), (-70.980900800000001, 42.356009499999999), (-70.9856044, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-70.980900800000001, 42.353426759999998), (-70.976197200000001, 42.353426759999998), (-70.976197200000001, 42.356009499999999), (-70.980900800000001, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-70.976197200000001, 42.353426759999998), (-70.971493600000002, 42.353426759999998), (-70.971493600000002, 42.356009499999999), (-70.976197200000001, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-70.971493600000002, 42.353426759999998), (-70.966790000000003, 42.353426759999998), (-70.966790000000003, 42.356009499999999), (-70.971493600000002, 42.356009499999999)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.201970000000003, 42.356009499999999), (-71.197266400000004, 42.356009499999999), (-71.197266400000004, 42.35859224), (-71.201970000000003, 42.35859224)]",0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.197266400000004, 42.356009499999999), (-71.192562800000005, 42.356009499999999), (-71.192562800000005, 42.35859224), (-71.197266400000004, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.192562800000005, 42.356009499999999), (-71.187859200000005, 42.356009499999999), (-71.187859200000005, 42.35859224), (-71.192562800000005, 42.35859224)]",0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.187859200000005, 42.356009499999999), (-71.183155600000006, 42.356009499999999), (-71.183155600000006, 42.35859224), (-71.187859200000005, 42.35859224)]",0.5,0.0,0.0,0.01,0.0,0.0,0.0,0.26,0.01,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.183155600000006, 42.356009499999999), (-71.178452000000007, 42.356009499999999), (-71.178452000000007, 42.35859224), (-71.183155600000006, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.178452000000007, 42.356009499999999), (-71.173748400000008, 42.356009499999999), (-71.173748400000008, 42.35859224), (-71.178452000000007, 42.35859224)]",0.0,0.0,0.01,0.0,0.0,0.11,0.0,0.19,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.173748400000008, 42.356009499999999), (-71.169044800000009, 42.356009499999999), (-71.169044800000009, 42.35859224), (-71.173748400000008, 42.35859224)]",0.09,0.0,0.1,0.0,0.0,0.14,0.0,0.33,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.169044800000009, 42.356009499999999), (-71.16434120000001, 42.356009499999999), (-71.16434120000001, 42.35859224), (-71.169044800000009, 42.35859224)]",0.09,0.0,0.23,0.0,0.0,0.0,0.0,0.3,0.03,0.02,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.16434120000001, 42.356009499999999), (-71.159637599999996, 42.356009499999999), (-71.159637599999996, 42.35859224), (-71.16434120000001, 42.35859224)]",0.15,0.0,0.12,0.0,0.0,0.0,0.0,0.29,0.02,0.05,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.159637599999996, 42.356009499999999), (-71.154933999999997, 42.356009499999999), (-71.154933999999997, 42.35859224), (-71.159637599999996, 42.35859224)]",0.29,0.0,0.0,0.03,0.0,0.0,0.0,0.24,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.154933999999997, 42.356009499999999), (-71.150230399999998, 42.356009499999999), (-71.150230399999998, 42.35859224), (-71.154933999999997, 42.35859224)]",0.15,0.0,0.0,0.19,0.0,0.02,0.0,0.3,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.150230399999998, 42.356009499999999), (-71.145526799999999, 42.356009499999999), (-71.145526799999999, 42.35859224), (-71.150230399999998, 42.35859224)]",0.53,0.0,0.0,0.27,0.0,0.0,0.0,0.18,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.145526799999999, 42.356009499999999), (-71.1408232, 42.356009499999999), (-71.1408232, 42.35859224), (-71.145526799999999, 42.35859224)]",0.31,0.0,0.0,0.51,0.0,0.0,0.0,0.24,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.1408232, 42.356009499999999), (-71.136119600000001, 42.356009499999999), (-71.136119600000001, 42.35859224), (-71.1408232, 42.35859224)]",0.48,0.0,0.0,0.14,0.0,0.0,0.0,0.32,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.136119600000001, 42.356009499999999), (-71.131416000000002, 42.356009499999999), (-71.131416000000002, 42.35859224), (-71.136119600000001, 42.35859224)]",0.27,0.0,0.0,0.17,0.0,0.0,0.0,0.23,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.131416000000002, 42.356009499999999), (-71.126712400000002, 42.356009499999999), (-71.126712400000002, 42.35859224), (-71.131416000000002, 42.35859224)]",0.11,0.0,0.0,0.02,0.0,0.0,0.0,0.47,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.126712400000002, 42.356009499999999), (-71.122008800000003, 42.356009499999999), (-71.122008800000003, 42.35859224), (-71.126712400000002, 42.35859224)]",0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.122008800000003, 42.356009499999999), (-71.117305200000004, 42.356009499999999), (-71.117305200000004, 42.35859224), (-71.122008800000003, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.18,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.117305200000004, 42.356009499999999), (-71.112601600000005, 42.356009499999999), (-71.112601600000005, 42.35859224), (-71.117305200000004, 42.35859224)]",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.3,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.112601600000005, 42.356009499999999), (-71.107898000000006, 42.356009499999999), (-71.107898000000006, 42.35859224), (-71.112601600000005, 42.35859224)]",0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.107898000000006, 42.356009499999999), (-71.103194400000007, 42.356009499999999), (-71.103194400000007, 42.35859224), (-71.107898000000006, 42.35859224)]",0.12,0.0,0.0,0.42,0.0,0.02,0.02,0.03,0.04,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.103194400000007, 42.356009499999999), (-71.098490800000008, 42.356009499999999), (-71.098490800000008, 42.35859224), (-71.103194400000007, 42.35859224)]",0.03,0.0,0.0,0.13,0.0,0.01,0.08,0.08,0.21,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.098490800000008, 42.356009499999999), (-71.093787200000008, 42.356009499999999), (-71.093787200000008, 42.35859224), (-71.098490800000008, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.05,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.093787200000008, 42.356009499999999), (-71.089083600000009, 42.356009499999999), (-71.089083600000009, 42.35859224), (-71.093787200000008, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.089083600000009, 42.356009499999999), (-71.08438000000001, 42.356009499999999), (-71.08438000000001, 42.35859224), (-71.089083600000009, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.08438000000001, 42.356009499999999), (-71.079676399999997, 42.356009499999999), (-71.079676399999997, 42.35859224), (-71.08438000000001, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.079676399999997, 42.356009499999999), (-71.074972799999998, 42.356009499999999), (-71.074972799999998, 42.35859224), (-71.079676399999997, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.074972799999998, 42.356009499999999), (-71.070269199999998, 42.356009499999999), (-71.070269199999998, 42.35859224), (-71.074972799999998, 42.35859224)]",0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.17,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.070269199999998, 42.356009499999999), (-71.065565599999999, 42.356009499999999), (-71.065565599999999, 42.35859224), (-71.070269199999998, 42.35859224)]",0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.065565599999999, 42.356009499999999), (-71.060862, 42.356009499999999), (-71.060862, 42.35859224), (-71.065565599999999, 42.35859224)]",0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.060862, 42.356009499999999), (-71.056158400000001, 42.356009499999999), (-71.056158400000001, 42.35859224), (-71.060862, 42.35859224)]",0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.056158400000001, 42.356009499999999), (-71.051454800000002, 42.356009499999999), (-71.051454800000002, 42.35859224), (-71.056158400000001, 42.35859224)]",0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.051454800000002, 42.356009499999999), (-71.046751200000003, 42.356009499999999), (-71.046751200000003, 42.35859224), (-71.051454800000002, 42.35859224)]",0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.046751200000003, 42.356009499999999), (-71.042047600000004, 42.356009499999999), (-71.042047600000004, 42.35859224), (-71.046751200000003, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.042047600000004, 42.356009499999999), (-71.037344000000004, 42.356009499999999), (-71.037344000000004, 42.35859224), (-71.042047600000004, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.037344000000004, 42.356009499999999), (-71.032640400000005, 42.356009499999999), (-71.032640400000005, 42.35859224), (-71.037344000000004, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.032640400000005, 42.356009499999999), (-71.027936800000006, 42.356009499999999), (-71.027936800000006, 42.35859224), (-71.032640400000005, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.027936800000006, 42.356009499999999), (-71.023233200000007, 42.356009499999999), (-71.023233200000007, 42.35859224), (-71.027936800000006, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.023233200000007, 42.356009499999999), (-71.018529600000008, 42.356009499999999), (-71.018529600000008, 42.35859224), (-71.023233200000007, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.018529600000008, 42.356009499999999), (-71.013826000000009, 42.356009499999999), (-71.013826000000009, 42.35859224), (-71.018529600000008, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.013826000000009, 42.356009499999999), (-71.00912240000001, 42.356009499999999), (-71.00912240000001, 42.35859224), (-71.013826000000009, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.00912240000001, 42.356009499999999), (-71.004418799999996, 42.356009499999999), (-71.004418799999996, 42.35859224), (-71.00912240000001, 42.35859224)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
